SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jan 29 13:30:04 NZDT 2014
User: radimdet
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2G7029
Integration Time (usec): 400000 (USB2G7029)
Spectra Averaged: 1 (USB2G7029)
Boxcar Smoothing: 0 (USB2G7029)
Correct for Electrical Dark: Yes (USB2G7029)
Strobe/Lamp Enabled: No (USB2G7029)
Correct for Detector Non-linearity: No (USB2G7029)
Correct for Stray Light: No (USB2G7029)
Number of Pixels in Processed Spectrum: 2048
340.33	-12.98
340.72	-12.98
341.10	-12.98
341.48	-7.98
341.87	-8.98
342.25	0.02
342.63	2.02
343.02	7.02
343.40	0.02
343.78	-0.98
344.17	-1.98
344.55	-3.98
344.93	-3.98
345.32	-3.98
345.70	-1.98
346.08	-2.98
346.46	1.02
346.85	-0.98
347.23	1.02
347.61	2.02
348.00	10.02
348.38	0.02
348.76	-4.98
349.14	-2.98
349.53	-1.98
349.91	1.02
350.29	-0.98
350.67	-3.98
351.06	-5.98
351.44	-3.98
351.82	-4.98
352.20	-7.98
352.59	-7.98
352.97	-4.98
353.35	0.02
353.73	0.02
354.11	-0.98
354.50	-1.98
354.88	-0.98
355.26	-4.98
355.64	-7.98
356.02	-1.98
356.41	-0.98
356.79	0.02
357.17	-2.98
357.55	0.02
357.93	-1.98
358.32	-1.98
358.70	-0.98
359.08	-2.98
359.46	-3.98
359.84	2.02
360.22	0.02
360.60	-0.98
360.99	-1.98
361.37	-1.98
361.75	-1.98
362.13	3.02
362.51	-1.98
362.89	-0.98
363.27	-2.98
363.65	-0.98
364.04	7.02
364.42	5.02
364.80	1.02
365.18	3.02
365.56	4.02
365.94	1.02
366.32	0.02
366.70	0.02
367.08	2.02
367.46	13.02
367.85	5.02
368.23	2.02
368.61	1.02
368.99	-0.98
369.37	2.02
369.75	1.02
370.13	0.02
370.51	-0.98
370.89	-1.98
371.27	4.02
371.65	-0.98
372.03	0.02
372.41	0.02
372.79	2.02
373.17	0.02
373.55	0.02
373.93	0.02
374.31	1.02
374.69	3.02
375.07	1.02
375.45	-0.98
375.83	3.02
376.21	3.02
376.59	1.02
376.97	1.02
377.35	-1.98
377.73	-0.98
378.11	1.02
378.49	1.02
378.87	2.02
379.25	0.02
379.63	-3.98
380.01	-1.98
380.39	0.02
380.77	1.02
381.15	1.02
381.52	-2.98
381.90	-3.98
382.28	-1.98
382.66	-1.98
383.04	1.02
383.42	1.02
383.80	2.02
384.18	4.02
384.56	2.02
384.94	1.02
385.32	2.02
385.69	-1.98
386.07	-2.98
386.45	11.02
386.83	6.02
387.21	-0.98
387.59	-1.98
387.97	1.02
388.34	-3.98
388.72	-2.98
389.10	2.02
389.48	3.02
389.86	-0.98
390.24	1.02
390.62	-0.98
390.99	0.02
391.37	1.02
391.75	3.02
392.13	2.02
392.51	0.02
392.88	1.02
393.26	-2.98
393.64	-3.98
394.02	2.02
394.40	3.02
394.77	18.02
395.15	7.02
395.53	3.02
395.91	0.02
396.29	2.02
396.66	0.02
397.04	2.02
397.42	3.02
397.80	3.02
398.17	0.02
398.55	12.02
398.93	6.02
